citizen_id,full_name,dob,age,gender,district,village_or_city,address,pincode,occupation,annual_income,caste,aadhar_number,mobile_number
1001,Ramesh Kumar,1957-01-12,68,Male,Janjgir-Champa,Ward 5,"605, Nehru Nagar, Janjgir-Champa",490261,Farmer,50495,General,838637940265,9423511615
1002,Hemant Kosare 1,2000-07-12,25,Male,Bemetara,Village DM,"850, Indira Nagar, Bemetara",497254,Government Employee,334700,General,034131647525,9534192832
1003,Durga Mandavi 9,1954-10-07,71,Female,Kondagaon,Kondagaon Nagar,"842, Main Road, Kondagaon",496595,Government Employee,167351,OBC,953767242388,9496965328
1004,Sunita Yadav,1944-11-24,81,Female,Korba,Colony 11,"611, Main Road, Korba",493153,Self Employed,272697,SC,801845146270,9482814893
1005,Rani Netam,1983-06-15,42,Female,Sukma,Village QA,"501, Main Road, Sukma",490917,Government Employee,561226,OBC,039117182278,9248963834
1006,Vandana Nishad,1974-05-14,51,Female,Gariaband,Ward 15,"347, Main Road, Gariaband",494820,Housewife,48864,General,103105183473,9829973763
1007,Dinesh Patel,1966-11-06,59,Male,Balod,Ward 14,"63, Nehru Nagar, Balod",495966,Government Employee,457289,OBC,338726247317,9810801326
1008,Kiran Banjare 7,1940-04-28,85,Female,Surguja,Colony 5,"293, Nehru Nagar, Surguja",495707,Weaver,691383,ST,234309805009,9788208121
1009,Mahesh Sahu,1956-03-01,69,Male,Mahasamund,Ward 4,"635, Main Road, Mahasamund",493435,Carpenter,287045,SC,435346247510,9799118384
1010,Manju Tandon,1941-03-27,84,Female,Janjgir-Champa,Village JF,"627, Indira Nagar, Janjgir-Champa",490065,Carpenter,556961,General,241182449353,9487401640
1011,Prakash Pandey,1992-03-21,33,Male,Bastar,Colony 9,"575, Main Road, Bastar",490917,Student,762294,OBC,805982620450,9533158692
1012,Pratibha Soni 3,1972-01-20,53,Female,Raipur,Colony 13,"822, Gandhi Chowk, Raipur",492186,Labour,178337,ST,073375433036,9541458685
1013,Dinesh Patel,1958-07-01,67,Male,Surguja,Colony 2,"354, Station Road, Surguja",493575,Driver,460632,ST,934060883561,9595148465
1014,Seema Chandel 3,1952-04-10,73,Female,Balod,Balod Nagar,"631, Indira Nagar, Balod",492466,Self Employed,150107,SC,436995777387,9214895134
1015,Kanta Yadav 1,1939-03-18,86,Female,Janjgir-Champa,Colony 2,"425, Indira Nagar, Janjgir-Champa",491593,Weaver,279599,ST,320163287083,9172788957
1016,Chandra Shekhar,1980-05-07,45,Male,Balod,Balod Nagar,"762, Nehru Nagar, Balod",493687,Shop Owner,370166,SC,873471434558,9122362316
1017,Shanta Markam,1972-05-13,53,Female,Bilaspur,Ward 7,"878, Indira Nagar, Bilaspur",493117,Unemployed,66105,SC,668893734670,9656272980
1018,Hema Sinha,1937-06-30,88,Female,Durg,Colony 14,"187, Main Road, Durg",492132,Self Employed,79598,SC,564641708053,9100330923
1019,Kiran Banjare,1985-08-29,40,Female,Raigarh,Village WI,"172, Indira Nagar, Raigarh",494975,Weaver,353894,OBC,419049663193,9149190586
1020,Mahesh Sahu,1965-09-04,60,Male,Raipur,Colony 2,"984, Station Road, Raipur",495207,Unemployed,264161,OBC,849877694531,9473799650
1021,Pratibha Soni,1978-10-21,47,Female,Raigarh,Village ZI,"902, Indira Nagar, Raigarh",495745,Shop Owner,285431,OBC,136783777014,9363495788
1022,Bharat Mandavi,1984-06-10,41,Male,Kanker,Village WO,"258, Gandhi Chowk, Kanker",490989,Weaver,35670,OBC,337498941343,9524082400
1023,Ravi Gupta,1946-05-23,79,Male,Jashpur,Ward 28,"588, Station Road, Jashpur",493846,Unemployed,198330,General,471167190229,9413186999
1024,Bimla Mishra,1975-06-25,50,Female,Bemetara,Ward 10,"625, Main Road, Bemetara",497763,Teacher,219376,General,232812067974,9034471349
1025,Saraswati Patle 4,1993-03-01,32,Female,Korba,Ward 30,"170, Station Road, Korba",494875,Weaver,551316,ST,174648877190,9659401399
1026,Brijlal Tandon,1959-03-30,66,Male,Surajpur,Colony 3,"532, Nehru Nagar, Surajpur",497505,Shop Owner,96720,ST,717565512567,9468071545
1027,Brijlal Tandon,1981-03-25,44,Male,Raipur,Ward 22,"193, Indira Nagar, Raipur",492964,Driver,313948,ST,034824771093,9248086131
1028,Kamla Sahu,1948-11-16,77,Female,Baloda Bazar,Village WJ,"426, Nehru Nagar, Baloda Bazar",493869,Teacher,187918,ST,398214658404,9499727875
1029,Naresh Chandel,1968-11-26,57,Male,Bemetara,Bemetara Nagar,"586, Nehru Nagar, Bemetara",491914,Self Employed,117609,ST,662702895171,9870262174
1030,Hemant Kosare,1993-05-12,32,Male,Durg,Colony 14,"978, Station Road, Durg",495135,Weaver,655826,General,913431611724,9005045562
1031,Meena Lahre,1996-03-25,29,Female,Surguja,Colony 10,"635, Gandhi Chowk, Surguja",494077,Driver,80443,SC,740748217594,9647436713
1032,Hema Sinha,1961-08-10,64,Female,Narayanpur,Village AV,"9, Indira Nagar, Narayanpur",497087,Carpenter,162857,ST,439533942104,9709521456
1033,Lalita Singh 9,1967-11-20,58,Female,Gariaband,Colony 5,"991, Station Road, Gariaband",496116,Government Employee,645541,General,236851604817,9549651370
1034,Sanjay Mishra,1964-06-28,61,Male,Balrampur,Colony 11,"932, Station Road, Balrampur",495319,Self Employed,25943,General,471138267586,9926179640
1035,Vijay Singh,1956-03-30,69,Male,Kabirdham,Village VL,"63, Nehru Nagar, Kabirdham",492261,Teacher,638403,General,390053293183,9933529042
1036,Chanda Thakur 3,1944-12-04,81,Female,Kondagaon,Village AE,"809, Gandhi Chowk, Kondagaon",494824,Government Employee,54782,General,268117758917,9839084700
1037,Pratibha Soni,1996-08-13,29,Female,Rajnandgaon,Ward 16,"330, Indira Nagar, Rajnandgaon",491216,Student,101830,SC,698478961183,9673657661
1038,Bharat Mandavi,1957-12-06,68,Male,Kabirdham,Ward 5,"852, Main Road, Kabirdham",490764,Self Employed,116835,SC,280988516560,9494519832
1039,Anita Patel,1966-06-22,59,Female,Mungeli,Mungeli Nagar,"827, Nehru Nagar, Mungeli",496924,Housewife,725963,General,940244550229,9612018366
1040,Shanta Markam 5,1999-10-20,26,Female,Kanker,Ward 25,"160, Gandhi Chowk, Kanker",496181,Driver,30693,SC,767976438156,9149784036
1041,Suresh Yadav 5,1954-01-05,71,Male,Sukma,Village YI,"123, Main Road, Sukma",494075,Weaver,183866,ST,838851606071,9596966416
1042,Prakash Pandey 8,1996-12-06,29,Male,Kabirdham,Colony 4,"604, Nehru Nagar, Kabirdham",494293,Student,60668,SC,352181883552,9312432921
1043,Bimla Mishra,1976-09-07,49,Female,Sukma,Village YS,"885, Station Road, Sukma",491237,Unemployed,77961,SC,490581477005,9411998679
1044,Mukesh Yadav,1938-09-29,87,Male,Bemetara,Bemetara Nagar,"330, Indira Nagar, Bemetara",493897,Housewife,28109,ST,151820377889,9255466590
1045,Mahesh Sahu,1985-02-13,40,Male,Kondagaon,Kondagaon Nagar,"342, Main Road, Kondagaon",494774,Carpenter,65851,SC,629148652816,9850542357
1046,Anita Patel,1948-12-18,77,Female,Durg,Ward 10,"678, Station Road, Durg",497180,Driver,69377,OBC,229270653794,9738347359
1047,Urmila Dhruv,2004-11-14,21,Female,Mahasamund,Mahasamund Nagar,"821, Indira Nagar, Mahasamund",491134,Shop Owner,82991,SC,818141247826,9137506068
1048,Santosh Dewangan,1942-05-21,83,Male,Kabirdham,Ward 8,"860, Station Road, Kabirdham",496483,Labour,57601,ST,277901043289,9861434103
1049,Jyoti Porte,1976-01-27,49,Female,Durg,Ward 4,"648, Indira Nagar, Durg",494711,Teacher,226356,ST,095396218518,9888806706
1050,Mohan Thakur,1967-02-06,58,Male,Durg,Ward 12,"791, Indira Nagar, Durg",496023,Government Employee,66176,SC,277221704303,9054868740
