ocr_id,citizen_id,document_type,extracted_data_json,confidence_score
7001,1857,aadhaar,"{""name"": ""Kanta Yadav 9"", ""dob"": ""1983-05-27"", ""aadhar_number"": ""086542438269"", ""address"": ""380, Main Road, Balrampur"", ""gender"": ""Female""}",90
7002,1141,aadhaar,"{""name"": ""Santosh Dewangan"", ""dob"": ""1989-09-13"", ""aadhar_number"": ""384309883920"", ""address"": ""729, Indira Nagar, Bilaspur"", ""gender"": ""Male""}",82
7003,1012,domicile_certificate,"{""name"": ""Pratibha Soni 3"", ""dob"": ""1972-01-20"", ""district"": ""Raipur"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 11}",77
7004,1755,domicile_certificate,"{""name"": ""Rani Netam"", ""dob"": ""1959-04-25"", ""district"": ""Gariaband"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 18}",71
7005,1803,aadhaar,"{""name"": ""Sunil Netam"", ""dob"": ""1941-06-27"", ""aadhar_number"": ""142943000375"", ""address"": ""663, Indira Nagar, Korba"", ""gender"": ""Male""}",81
7006,1893,income_certificate,"{""name"": ""Prakash Pandey"", ""annual_income"": ""Colony 6"", ""district"": ""Narayanpur"", ""issued_by"": ""Tehsildar Narayanpur"", ""financial_year"": ""2024-25""}",75
7007,1078,caste_certificate,"{""name"": ""Bimla Mishra 9"", ""caste"": ""OBC"", ""district"": ""Surajpur"", ""certificate_number"": ""CG/SUR/44705""}",75
7008,1663,domicile_certificate,"{""name"": ""Brijlal Tandon 1"", ""dob"": ""1940-02-21"", ""district"": ""Narayanpur"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 33}",90
7009,1969,income_certificate,"{""name"": ""Suresh Yadav 7"", ""annual_income"": ""Colony 8"", ""district"": ""Narayanpur"", ""issued_by"": ""Tehsildar Narayanpur"", ""financial_year"": ""2024-25""}",93
7010,1773,caste_certificate,"{""name"": ""Jyoti Porte"", ""caste"": ""ST"", ""district"": ""Gariaband"", ""certificate_number"": ""CG/GAR/36236""}",87
7011,1272,income_certificate,"{""name"": ""Kanta Yadav"", ""annual_income"": ""Janjgir-Champa Nagar"", ""district"": ""Janjgir-Champa"", ""issued_by"": ""Tehsildar Janjgir-Champa"", ""financial_year"": ""2024-25""}",80
7012,1794,domicile_certificate,"{""name"": ""Santosh Dewangan"", ""dob"": ""1990-09-26"", ""district"": ""Bijapur"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 12}",73
7013,1853,domicile_certificate,"{""name"": ""Meena Lahre 4"", ""dob"": ""1954-06-04"", ""district"": ""Balrampur"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 11}",91
7014,1321,bank_passbook,"{""name"": ""Chanda Thakur"", ""account_number"": ""888430906407"", ""ifsc"": ""SBIN090099"", ""bank_name"": ""Bank of Baroda"", ""balance"": 71814}",93
7015,1146,domicile_certificate,"{""name"": ""Anil Sharma"", ""dob"": ""1953-12-13"", ""district"": ""Balod"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 10}",87
7016,1282,caste_certificate,"{""name"": ""Ganesh Markam 8"", ""caste"": ""General"", ""district"": ""Korba"", ""certificate_number"": ""CG/KOR/51233""}",76
7017,1450,caste_certificate,"{""name"": ""Brijlal Tandon"", ""caste"": ""OBC"", ""district"": ""Janjgir-Champa"", ""certificate_number"": ""CG/JAN/80164""}",74
7018,1412,bank_passbook,"{""name"": ""Jyoti Porte"", ""account_number"": ""890820527378"", ""ifsc"": ""SBIN094037"", ""bank_name"": ""HDFC"", ""balance"": 97664}",71
7019,1547,aadhaar,"{""name"": ""Santram Dhivar"", ""dob"": ""1938-05-21"", ""aadhar_number"": ""812421140868"", ""address"": ""214, Indira Nagar, Dantewada"", ""gender"": ""Male""}",78
7020,1872,bank_passbook,"{""name"": ""Sunil Netam"", ""account_number"": ""825214243272"", ""ifsc"": ""SBIN050756"", ""bank_name"": ""SBI"", ""balance"": 48965}",95
7021,1197,income_certificate,"{""name"": ""Geeta Sharma"", ""annual_income"": ""Village GU"", ""district"": ""Bemetara"", ""issued_by"": ""Tehsildar Bemetara"", ""financial_year"": ""2024-25""}",76
7022,1356,bank_passbook,"{""name"": ""Poonam Kosare 5"", ""account_number"": ""750131081283"", ""ifsc"": ""SBIN040145"", ""bank_name"": ""Bank of Baroda"", ""balance"": 135001}",71
7023,1711,income_certificate,"{""name"": ""Bharat Mandavi"", ""annual_income"": ""Colony 5"", ""district"": ""Raigarh"", ""issued_by"": ""Tehsildar Raigarh"", ""financial_year"": ""2024-25""}",91
7024,1755,caste_certificate,"{""name"": ""Rani Netam"", ""caste"": ""SC"", ""district"": ""Gariaband"", ""certificate_number"": ""CG/GAR/94520""}",75
7025,1521,bank_passbook,"{""name"": ""Ashok Patle"", ""account_number"": ""469497152440"", ""ifsc"": ""SBIN013672"", ""bank_name"": ""Canara Bank"", ""balance"": 83877}",71
7026,1894,domicile_certificate,"{""name"": ""Meena Lahre"", ""dob"": ""1996-01-23"", ""district"": ""Rajnandgaon"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 37}",72
7027,1600,domicile_certificate,"{""name"": ""Mukesh Yadav"", ""dob"": ""1967-07-06"", ""district"": ""Bilaspur"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 18}",81
7028,1266,caste_certificate,"{""name"": ""Chandra Shekhar"", ""caste"": ""General"", ""district"": ""Balod"", ""certificate_number"": ""CG/BAL/27237""}",81
7029,1186,caste_certificate,"{""name"": ""Manju Tandon"", ""caste"": ""General"", ""district"": ""Kondagaon"", ""certificate_number"": ""CG/KON/72044""}",85
7030,1501,domicile_certificate,"{""name"": ""Santram Dhivar"", ""dob"": ""2003-04-30"", ""district"": ""Janjgir-Champa"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 21}",79
7031,1798,caste_certificate,"{""name"": ""Prakash Pandey"", ""caste"": ""General"", ""district"": ""Gariaband"", ""certificate_number"": ""CG/GAR/84120""}",82
7032,1271,bank_passbook,"{""name"": ""Santosh Dewangan 2"", ""account_number"": ""135413216676"", ""ifsc"": ""SBIN050123"", ""bank_name"": ""Canara Bank"", ""balance"": 75006}",95
7033,1055,aadhaar,"{""name"": ""Deepak Sinha"", ""dob"": ""1981-06-23"", ""aadhar_number"": ""824225358414"", ""address"": ""787, Gandhi Chowk, Kabirdham"", ""gender"": ""Male""}",83
7034,1009,domicile_certificate,"{""name"": ""Mahesh Sahu"", ""dob"": ""1956-03-01"", ""district"": ""Mahasamund"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 39}",97
7035,1524,income_certificate,"{""name"": ""Dilip Nishad"", ""annual_income"": ""Ward 7"", ""district"": ""Raigarh"", ""issued_by"": ""Tehsildar Raigarh"", ""financial_year"": ""2024-25""}",82
7036,1305,bank_passbook,"{""name"": ""Anil Sharma"", ""account_number"": ""239304645395"", ""ifsc"": ""SBIN098027"", ""bank_name"": ""Canara Bank"", ""balance"": 96460}",95
7037,1374,income_certificate,"{""name"": ""Ramesh Kumar"", ""annual_income"": ""Korba Nagar"", ""district"": ""Korba"", ""issued_by"": ""Tehsildar Korba"", ""financial_year"": ""2024-25""}",85
7038,1474,bank_passbook,"{""name"": ""Bimla Mishra 1"", ""account_number"": ""964267120416"", ""ifsc"": ""SBIN083724"", ""bank_name"": ""Bank of Baroda"", ""balance"": 77088}",90
7039,1824,domicile_certificate,"{""name"": ""Saraswati Patle"", ""dob"": ""1943-11-18"", ""district"": ""Gariaband"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 6}",88
7040,1104,income_certificate,"{""name"": ""Ravi Gupta 5"", ""annual_income"": ""Ward 11"", ""district"": ""Durg"", ""issued_by"": ""Tehsildar Durg"", ""financial_year"": ""2024-25""}",73
7041,1023,caste_certificate,"{""name"": ""Ravi Gupta"", ""caste"": ""General"", ""district"": ""Jashpur"", ""certificate_number"": ""CG/JAS/13192""}",84
7042,1161,caste_certificate,"{""name"": ""Kailash Banjare 9"", ""caste"": ""OBC"", ""district"": ""Janjgir-Champa"", ""certificate_number"": ""CG/JAN/43198""}",95
7043,1363,income_certificate,"{""name"": ""Saraswati Patle"", ""annual_income"": ""Ward 16"", ""district"": ""Bastar"", ""issued_by"": ""Tehsildar Bastar"", ""financial_year"": ""2024-25""}",89
7044,1446,aadhaar,"{""name"": ""Hema Sinha"", ""dob"": ""1936-10-20"", ""aadhar_number"": ""176342507330"", ""address"": ""639, Station Road, Kanker"", ""gender"": ""Female""}",72
7045,1774,domicile_certificate,"{""name"": ""Deepak Sinha 7"", ""dob"": ""1991-08-30"", ""district"": ""Gariaband"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 8}",88
7046,1854,bank_passbook,"{""name"": ""Dinesh Patel"", ""account_number"": ""344015385801"", ""ifsc"": ""SBIN028525"", ""bank_name"": ""Bank of Baroda"", ""balance"": 123875}",70
7047,1451,bank_passbook,"{""name"": ""Ashok Patle 2"", ""account_number"": ""534407268538"", ""ifsc"": ""SBIN027835"", ""bank_name"": ""Bank of Baroda"", ""balance"": 28303}",92
7048,1489,caste_certificate,"{""name"": ""Nirmala Dhivar"", ""caste"": ""OBC"", ""district"": ""Surguja"", ""certificate_number"": ""CG/SUR/36383""}",73
7049,1703,domicile_certificate,"{""name"": ""Prakash Pandey 4"", ""dob"": ""1999-08-22"", ""district"": ""Sukma"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 8}",76
7050,1135,caste_certificate,"{""name"": ""Nirmala Dhivar 6"", ""caste"": ""SC"", ""district"": ""Narayanpur"", ""certificate_number"": ""CG/NAR/17696""}",90
7051,1846,income_certificate,"{""name"": ""Hema Sinha"", ""annual_income"": ""Raipur Nagar"", ""district"": ""Raipur"", ""issued_by"": ""Tehsildar Raipur"", ""financial_year"": ""2024-25""}",93
7052,1697,bank_passbook,"{""name"": ""Anil Sharma"", ""account_number"": ""371859175995"", ""ifsc"": ""SBIN098340"", ""bank_name"": ""HDFC"", ""balance"": 134304}",99
7053,1544,caste_certificate,"{""name"": ""Poonam Kosare"", ""caste"": ""SC"", ""district"": ""Bemetara"", ""certificate_number"": ""CG/BEM/45053""}",74
7054,1471,bank_passbook,"{""name"": ""Rani Netam 2"", ""account_number"": ""493303930378"", ""ifsc"": ""SBIN030354"", ""bank_name"": ""PNB"", ""balance"": 113035}",72
7055,1806,domicile_certificate,"{""name"": ""Ramesh Kumar"", ""dob"": ""1991-03-06"", ""district"": ""Korba"", ""state"": ""Chhattisgarh"", ""years_of_residence"": 21}",88
7056,1425,caste_certificate,"{""name"": ""Chandra Shekhar"", ""caste"": ""General"", ""district"": ""Rajnandgaon"", ""certificate_number"": ""CG/RAJ/54056""}",99
